Chunk,Type,Correct Form
headdress,Compounds,TRUE
headlight,Compounds,TRUE
headline,Compounds,TRUE
headquarters,Compounds,TRUE
heartbeat,Compounds,TRUE
heartbroken,Compounds,TRUE
hereafter,Compounds,TRUE
hereby,Compounds,TRUE
herein,Compounds,TRUE
hereupon,Compounds,TRUE
herself,Compounds,TRUE
highball,Compounds,TRUE
highchair,Compounds,TRUE
highland,Compounds,TRUE
highway,Compounds,TRUE
himself,Compounds,TRUE
homemade,Compounds,TRUE
hometown,Compounds,TRUE
honeybee,Compounds,TRUE
honeycomb,Compounds,TRUE
honeydew,Compounds,TRUE
honeymoon,Compounds,TRUE
honeysuckle,Compounds,TRUE
hookup,Compounds,TRUE
hookworm,Compounds,TRUE
horseback,Compounds,TRUE
horsefly,Compounds,TRUE
horsehair,Compounds,TRUE
horseman,Compounds,TRUE
horseplay,Compounds,TRUE
horsepower,Compounds,TRUE
horseradish,Compounds,TRUE
houseboat,Compounds,TRUE
household,Compounds,TRUE
housekeeper,Compounds,TRUE
housetop,Compounds,TRUE
housework,Compounds,TRUE
however,Compounds,TRUE
inside,Compounds,TRUE
intake,Compounds,TRUE
ironwork,Compounds,TRUE
itself,Compounds,TRUE
jackpot,Compounds,TRUE
jailbait,Compounds,TRUE
jawbone,Compounds,TRUE
jellybean,Compounds,TRUE
jellyfish,Compounds,TRUE
jetliner,Compounds,TRUE
jetport,Compounds,TRUE
jumpshot,Compounds,TRUE
keyboard,Compounds,TRUE
keyhole,Compounds,TRUE
keynote,Compounds,TRUE
keypad,Compounds,TRUE
keypunch,Compounds,TRUE
keystone,Compounds,TRUE
keystroke,Compounds,TRUE
keyway,Compounds,TRUE
keyword,Compounds,TRUE
ladybug,Compounds,TRUE
landlady,Compounds,TRUE
landlord,Compounds,TRUE
leadership,Compounds,TRUE
leaflet,Compounds,TRUE
lengthwise,Compounds,TRUE
lifeblood,Compounds,TRUE
lifeboat,Compounds,TRUE
lifeguard,Compounds,TRUE
lifelike,Compounds,TRUE
lifeline,Compounds,TRUE
lifelong,Compounds,TRUE
lifesaver,Compounds,TRUE
lifetime,Compounds,TRUE
lifework,Compounds,TRUE
lighthouse,Compounds,TRUE
limelight,Compounds,TRUE
limestone,Compounds,TRUE
longhand,Compounds,TRUE
longhouse,Compounds,TRUE
loudspeaker,Compounds,TRUE
lukewarm,Compounds,TRUE
mainland,Compounds,TRUE
mainline,Compounds,TRUE
masterpiece,Compounds,TRUE
matchbox,Compounds,TRUE
meantime,Compounds,TRUE
meanwhile,Compounds,TRUE
meatball,Compounds,TRUE
moonbeam,Compounds,TRUE
moonlight,Compounds,TRUE
moonlit,Compounds,TRUE
moonscape,Compounds,TRUE
moonshine,Compounds,TRUE
moonstruck,Compounds,TRUE
moonwalk,Compounds,TRUE
moreover,Compounds,TRUE
mothball,Compounds,TRUE
motherhood,Compounds,TRUE
motorcycle,Compounds,TRUE
myself,Compounds,TRUE
nearby,Compounds,TRUE
nevermore,Compounds,TRUE
newborn,Compounds,TRUE
newfound,Compounds,TRUE
newsboy,Compounds,TRUE
newsbreak,Compounds,TRUE
newscaster,Compounds,TRUE
newsdealer,Compounds,TRUE
newsletter,Compounds,TRUE
newsman,Compounds,TRUE
newspaper,Compounds,TRUE
newsperson,Compounds,TRUE
newsprint,Compounds,TRUE
newsreel,Compounds,TRUE
newsroom,Compounds,TRUE
newsstand,Compounds,TRUE
newsworthy,Compounds,TRUE
nightfall,Compounds,TRUE
nobody,Compounds,TRUE
noisemaker,Compounds,TRUE
northeast,Compounds,TRUE
notebook,Compounds,TRUE
noteworthy,Compounds,TRUE
nowhere,Compounds,TRUE
nursemaid,Compounds,TRUE
nutcracker,Compounds,TRUE
offhand,Compounds,TRUE
oneself,Compounds,TRUE
onetime,Compounds,TRUE
online,Compounds,TRUE
otherwise,Compounds,TRUE
outdoor,Compounds,TRUE
outfield,Compounds,TRUE
outfit,Compounds,TRUE
outgrow,Compounds,TRUE
outlaw,Compounds,TRUE
outlet,Compounds,TRUE
outnumber,Compounds,TRUE
outpatient,Compounds,TRUE
overabundance,Compounds,TRUE
overboard,Compounds,TRUE
overcoat,Compounds,TRUE
overdose,Compounds,TRUE
overdue,Compounds,TRUE
overflow,Compounds,TRUE
overland,Compounds,TRUE
overshoes,Compounds,TRUE
pacemaker,Compounds,TRUE
pancake,Compounds,TRUE
partnership,Compounds,TRUE
passbook,Compounds,TRUE
passkey,Compounds,TRUE
Passover,Compounds,TRUE
passport,Compounds,TRUE
paycheck,Compounds,TRUE
peppermint,Compounds,TRUE
photocopy,Compounds,TRUE
pickup,Compounds,TRUE
pinhole,Compounds,TRUE
pinstripe,Compounds,TRUE
pinup,Compounds,TRUE
pinwheel,Compounds,TRUE
playback,Compounds,TRUE
playboy,Compounds,TRUE
playground,Compounds,TRUE
playhouse,Compounds,TRUE
playroom,Compounds,TRUE
playthings,Compounds,TRUE
ponytail,Compounds,TRUE
popcorn,Compounds,TRUE
postcard,Compounds,TRUE
postman,Compounds,TRUE
racquetball,Compounds,TRUE
railroad,Compounds,TRUE
railway,Compounds,TRUE
rainbow,Compounds,TRUE
raincheck,Compounds,TRUE
raincoat,Compounds,TRUE
raindrop,Compounds,TRUE
raindrops,Compounds,TRUE
rainstorm,Compounds,TRUE
rainwater,Compounds,TRUE
rattlesnake,Compounds,TRUE
rattletrap,Compounds,TRUE
repairman,Compounds,TRUE
ringworm,Compounds,TRUE
riverbanks,Compounds,TRUE
rubberband,Compounds,TRUE
sailboat,Compounds,TRUE
salesclerk,Compounds,TRUE
sandbags,Compounds,TRUE
sandcastle,Compounds,TRUE
sandlot,Compounds,TRUE
sandpaper,Compounds,TRUE
sandstone,Compounds,TRUE
saucepan,Compounds,TRUE
scapegoat,Compounds,TRUE
scarecrow,Compounds,TRUE
schoolbook,Compounds,TRUE
schoolboy,Compounds,TRUE
schoolbus,Compounds,TRUE
schoolhouse,Compounds,TRUE
schoolwork,Compounds,TRUE
seafood,Compounds,TRUE
seashore,Compounds,TRUE
seaweed,Compounds,TRUE
setback,Compounds,TRUE
shadyside,Compounds,TRUE
sharecropper,Compounds,TRUE
sharpshooter,Compounds,TRUE
sheepskin,Compounds,TRUE
shipbottom,Compounds,TRUE
shipwreck,Compounds,TRUE
shoelace,Compounds,TRUE
shoemaker,Compounds,TRUE
shoestring,Compounds,TRUE
shortbread,Compounds,TRUE
showoff,Compounds,TRUE
showplace,Compounds,TRUE
sideburns,Compounds,TRUE
sidekick,Compounds,TRUE
sideshow,Compounds,TRUE
sidewalk,Compounds,TRUE
silversmith,Compounds,TRUE
sisterhood,Compounds,TRUE
sixfold,Compounds,TRUE
skateboard,Compounds,TRUE
skintight,Compounds,TRUE
skylark,Compounds,TRUE
skylight,Compounds,TRUE
skyscraper,Compounds,TRUE
slapstick,Compounds,TRUE
slowdown,Compounds,TRUE
slumlord,Compounds,TRUE
snakeskin,Compounds,TRUE
snowball,Compounds,TRUE
snowbank,Compounds,TRUE
snowbird,Compounds,TRUE
snowboard,Compounds,TRUE
snowdrift,Compounds,TRUE
snowshovel,Compounds,TRUE
snowstorm,Compounds,TRUE
softball,Compounds,TRUE
software,Compounds,TRUE
somebody,Compounds,TRUE
someday,Compounds,TRUE
somehow,Compounds,TRUE
someone,Compounds,TRUE
someplace,Compounds,TRUE
something,Compounds,TRUE
somewhat,Compounds,TRUE
somewhere,Compounds,TRUE
soundproof,Compounds,TRUE
southeast,Compounds,TRUE
southwest,Compounds,TRUE
soybean,Compounds,TRUE
spaceship,Compounds,TRUE
spacewalk,Compounds,TRUE
spearmint,Compounds,TRUE
spillway,Compounds,TRUE
spokesperson,Compounds,TRUE
stagehand,Compounds,TRUE
staircase,Compounds,TRUE
standby,Compounds,TRUE
standoff,Compounds,TRUE
standout,Compounds,TRUE
standpipe,Compounds,TRUE
standpoint,Compounds,TRUE
starfish,Compounds,TRUE
starlight,Compounds,TRUE
steamboat,Compounds,TRUE
steamship,Compounds,TRUE
stepson,Compounds,TRUE
stockroom,Compounds,TRUE
stomachache,Compounds,TRUE
stonewall,Compounds,TRUE
stoplight,Compounds,TRUE
stopwatch,Compounds,TRUE
storerooms,Compounds,TRUE
strawberry,Compounds,TRUE
stronghold,Compounds,TRUE
